left;right;Category;Singular/Plural;N / M / F;weight;processor;processor_args;;;;;
V_FLIGHT_SI;schwebt;;;;0.75;always_include_processor;flap_frequency_percentile_lt:15, speed_perecentile_lt:25;;;;;
V_FLIGHT_PL;schweben;;;;0.75;always_include_processor;flap_frequency_percentile_lt:15, speed_perecentile_lt:25;;;;;
V_FLIGHT_SI;zieht;;;;0.75;always_include_processor;flap_frequency_percentile_lt:65, speed_perecentile_lt:75;;;;;
V_FLIGHT_PL;ziehen;;;;0.75;always_include_processor;flap_frequency_percentile_lt:65, speed_perecentile_lt:75;;;;;
V_FLIGHT_SI;zischt;;;;0.75;always_include_processor;speed_perecentile_gt:75;;;;;
V_FLIGHT_PL;zischen;;;;0.75;always_include_processor;speed_perecentile_gt:75;;;;;
V_FLIGHT_SI;segelt;;;;0.75;always_include_processor;flap_frequency_percentile_lt:15, speed_perecentile_lt:75;;;;;
V_FLIGHT_PL;segeln;;;;0.75;always_include_processor;flap_frequency_percentile_lt:15, speed_perecentile_lt:75;;;;;
V_FLIGHT_SI;wandert;;;;0.75;always_include_processor;flap_frequency_percentile_lt:65, speed_perecentile_lt:75;;;;;
V_FLIGHT_PL;wandern;;;;0.75;always_include_processor;flap_frequency_percentile_lt:65, speed_perecentile_lt:75;;;;;
V_FLIGHT_SI;treibt;;;;0.75;always_include_processor;flap_frequency_percentile_lt:15, speed_perecentile_lt:50;;;;;
V_FLIGHT_PL;treiben;;;;0.75;always_include_processor;flap_frequency_percentile_lt:15, speed_perecentile_lt:50;;;;;
V_SEE_SI;sieht;;;;1;always_include_processor;;;;;;
V_SEE_PL;sehen;;;;1;always_include_processor;;;;;;
V_SEE_SI;erkennt;;;;0.75;always_include_processor;;;;;;
V_SEE_PL;erkennen;;;;0.75;always_include_processor;;;;;;
V_SEE_SI;beobachtet;;;;0.75;always_include_processor;;;;;;
V_SEE_PL;beobachten;;;;0.75;always_include_processor;;;;;;
V_SEE_SI;schaut;;;;0.5;always_include_processor;;;;;;
V_SEE_PL;schauen;;;;0.5;always_include_processor;;;;;;
NN_BIRD_SI_M;Piepmatz;;;;0.25;bird_count_processor;bird_count_eq:1;;;;;
NN_BIRD_PL;Piepmatzen;;;;0.25;bird_count_processor;bird_count_gt:1;;;;;
NN_BIRD_SI_M;Vogel;;;;1;always_include_processor;;;;;;
NN_BIRD_PL;Vögel;;;;1;bird_count_processor;bird_count_gt:1;;;;;
NN_BIRD_SI_N;Tier;;;;0.5;bird_count_processor;bird_count_eq:1;;;;;
NN_BIRD_PL;Tiere;;;;0.5;bird_count_processor;bird_count_gt:1;;;;;
NN_BIRD_SI_N;Flattertier;;;;0.25;bird_count_processor;bird_count_eq:1;;;;;
NN_BIRD_PL;Flattertiere;;;;0.25;bird_count_processor;bird_count_gt:1;;;;;
NN_BIRD_PL;Federvieh;;;;0.15;bird_count_processor;bird_count_eq:1;;;;;
NN_BIRD_SI_N;Flugtier;;;;0.25;bird_count_processor;bird_count_eq:1;;;;;
NN_BIRD_PL;Flugtiere;;;;0.25;bird_count_processor;bird_count_gt:1;;;;;
NN_BIRD_PL;Ratten der Lüfte;;;;0.00001;bird_count_processor;bird_count_gt:1;;;;;
NN_SHAPE_SI_M;Strich;;;;1;generic_processor;speed_percentile_gt:75;;;;;
NN_SHAPE_PL;Striche;;;;1;generic_processor;speed_percentile_gt:75;;;;;
NN_SHAPE_SI_F;Linie;;;;1;generic_processor;speed_percentile_gt:75;;;;;
NN_SHAPE_PL;Linien;;;;1;generic_processor;speed_percentile_gt:75;;;;;
NN_SHAPE_SI_M;Punkt;;;;1;generic_processor;size_absolute_lt:25;;;;;
NN_SHAPE_PL;Punkte;;;;1;generic_processor;size_absolute_lt:25;;;;;
NN_FLAP_SI;Flügelschlag;;;;1;always_include_processor;;;;;;
NN_FLAP_PL;Flügelschlägen;;;;1;always_include_processor;;;;;;
NN_ORIENT;Nord,Norden;orientation;;;1;generic_processor;orientation_eq:N;compass_direction_gt: 0, compass_direction_lt: 11.25;;;;
NN_ORIENT;Nordnordost;;;;1;generic_processor;orientation_eq:NNE;compass_direction_gt: 11.25, compass_direction_lt: 33.75;;;;
NN_ORIENT;Nordost;;;;1;generic_processor;orientation_eq:NE;compass_direction_gt: 33.75, compass_direction_lt: 56.25;;;;
NN_ORIENT;Ostnordost;;;;1;generic_processor;orientation_eq:ENE;compass_direction_gt: 56.25, compass_direction_lt: 78.75;;;;
NN_ORIENT;Ost,Osten;;;;1;generic_processor;orientation_eq:E;compass_direction_gt: 101.25, compass_direction_lt: 123.75;;;;
NN_ORIENT;Ostsüdost;;;;1;generic_processor;orientation_eq:ESE;compass_direction_gt: 101.25, compass_direction_lt: 123.75;;;;
NN_ORIENT;Südost;;;;1;generic_processor;orientation_eq:SE;compass_direction_gt: 123.75, compass_direction_lt: 146.25;;;;
NN_ORIENT;Südsüdost;;;;1;generic_processor;orientation_eq:SSE;compass_direction_gt: 146.25, compass_direction_lt: 168.75;;;;
NN_ORIENT;Süd,Süden;;;;1;generic_processor;orientation_eq:S;compass_direction_gt: 191.25, compass_direction_lt: 213.75;;;;
NN_ORIENT;Südsüdwest;;;;1;generic_processor;orientation_eq:SSW;compass_direction_gt: 191.25, compass_direction_lt: 213.75;;;;
NN_ORIENT;Südwest;;;;1;generic_processor;orientation_eq:SW;compass_direction_gt: 213.75, compass_direction_lt: 236.25;;;;
